time,x,y,longitude,latitude,cerra_sde,unit
2019-09-17,104500,1331000,9.946215823184616,61.86521691470476,0.009583333,1
2019-09-17,110000,1331000,10.04859829242372,61.86392729619409,0.0,2
2019-09-17,115500,1331000,10.15097308316179,61.86257158655699,0.0,3
2019-09-17,93500,1336500,9.74381725071918,61.915875526948106,0.01,4
2019-09-17,104500,1336500,9.948884258163838,61.913491818206985,0.009583333,5
2019-09-17,110000,1336500,10.051406965665244,61.912200699791455,0.0,6
2019-09-17,115500,1336500,10.15392196305603,61.91084341347358,0.0,7
2019-09-17,88000,1342000,9.643527437849816,61.9652369748336,0.03,8
2019-09-17,93500,1342000,9.746211676993724,61.96414312400681,0.02,9
2019-09-17,99000,1342000,9.84888933277268,61.96298301071997,0.012083333,10
2019-09-17,104500,1342000,9.951560018849955,61.96175664053426,0.0054166666,11
2019-09-17,110000,1342000,10.054223349046335,61.96046401932794,0.0,12
2019-09-17,115500,1342000,10.156878937348818,61.95910515329606,0.0,13
2019-09-17,99000,1347500,9.85143141029024,62.01123913436032,0.01,14
2019-09-17,104500,1347500,9.954243135444663,62.01001133557868,0.0054166666,15
2019-09-18,99000,1325500,9.84130480426889,61.8181540769436,0.0,0
2019-09-18,104500,1331000,9.946215823184616,61.86521691470476,0.01,1
2019-09-18,110000,1331000,10.04859829242372,61.86392729619409,0.0,2
2019-09-18,115500,1331000,10.15097308316179,61.86257158655699,0.0,3
2019-09-18,93500,1336500,9.74381725071918,61.915875526948106,0.01,4
2019-09-18,104500,1336500,9.948884258163838,61.913491818206985,0.01,5
2019-09-18,110000,1336500,10.051406965665244,61.912200699791455,0.0,6
2019-09-18,115500,1336500,10.15392196305603,61.91084341347358,0.0,7
2019-09-18,88000,1342000,9.643527437849816,61.9652369748336,0.03,8
2019-09-18,93500,1342000,9.746211676993724,61.96414312400681,0.02,9
2019-09-18,99000,1342000,9.84888933277268,61.96298301071997,0.015833333,10
2019-09-18,104500,1342000,9.951560018849955,61.96175664053426,0.01,11
2019-09-18,110000,1342000,10.054223349046335,61.96046401932794,0.0,12
2019-09-18,115500,1342000,10.156878937348818,61.95910515329606,0.0,13
2019-09-18,99000,1347500,9.85143141029024,62.01123913436032,0.01,14
2019-09-18,104500,1347500,9.954243135444663,62.01001133557868,0.01,15
2019-09-19,99000,1325500,9.84130480426889,61.8181540769436,0.00125,0
2019-09-19,104500,1331000,9.946215823184616,61.86521691470476,0.010416667,1
2019-09-19,110000,1331000,10.04859829242372,61.86392729619409,0.0016666666,2
2019-09-19,115500,1331000,10.15097308316179,61.86257158655699,0.0008333333,3
2019-09-19,93500,1336500,9.74381725071918,61.915875526948106,0.010833333,4
2019-09-19,104500,1336500,9.948884258163838,61.913491818206985,0.010416667,5
2019-09-19,110000,1336500,10.051406965665244,61.912200699791455,0.0008333333,6
2019-09-19,115500,1336500,10.15392196305603,61.91084341347358,0.0008333333,7
2019-09-19,88000,1342000,9.643527437849816,61.9652369748336,0.030833334,8
2019-09-19,93500,1342000,9.746211676993724,61.96414312400681,0.021666666,9
2019-09-19,99000,1342000,9.84888933277268,61.96298301071997,0.01625,10
2019-09-19,104500,1342000,9.951560018849955,61.96175664053426,0.010416667,11
2019-09-19,110000,1342000,10.054223349046335,61.96046401932794,0.00125,12
2019-09-19,115500,1342000,10.156878937348818,61.95910515329606,0.0008333333,13
2019-09-19,99000,1347500,9.85143141029024,62.01123913436032,0.010833333,14
2019-09-19,104500,1347500,9.954243135444663,62.01001133557868,0.010416667,15
2019-09-20,99000,1325500,9.84130480426889,61.8181540769436,0.014583333,0
2019-09-20,104500,1331000,9.946215823184616,61.86521691470476,0.019583333,1
