time,x,y,statkraft_sde,unit
2015-01-17,99000,1342000,0.42609249991972753,10
2015-01-17,104500,1342000,0.24571830021853033,11
2015-01-17,110000,1342000,0.11853974049605467,12
2015-01-17,115500,1342000,0.1888474901711655,13
2015-01-17,99000,1347500,0.1963917286698746,14
2015-01-17,104500,1347500,0.1999613586957311,15
2015-01-18,99000,1325500,1.852839829825371,0
2015-01-18,104500,1331000,0.181191628510401,1
2015-01-18,110000,1331000,0.0711323140487584,2
2015-01-18,115500,1331000,0.10004396456642128,3
2015-01-18,93500,1336500,1.790302150026816,4
2015-01-18,104500,1336500,0.22172474961454797,5
2015-01-18,110000,1336500,0.10062715057083677,6
2015-01-18,115500,1336500,0.08921836459232238,7
2015-01-18,88000,1342000,1.1483218284863999,8
2015-01-18,93500,1342000,0.9549453920420574,9
2015-01-18,99000,1342000,0.35418011393999144,10
2015-01-18,104500,1342000,0.20461031555550596,11
2015-01-18,110000,1342000,0.07894905534400731,12
2015-01-18,115500,1342000,0.1427757388109675,13
2015-01-18,99000,1347500,0.15860122714641992,14
2015-01-18,104500,1347500,0.16017344448689397,15
2015-01-19,99000,1325500,1.849609206796659,0
2015-01-19,104500,1331000,0.17186385910595373,1
2015-01-19,110000,1331000,0.05435118456996332,2
2015-01-19,115500,1331000,0.08019884703433425,3
2015-01-19,93500,1336500,1.7944963456762744,4
2015-01-19,104500,1336500,0.21324991800179383,5
2015-01-19,110000,1336500,0.08080348492511734,6
2015-01-19,115500,1336500,0.06934287881293838,7
2015-01-19,88000,1342000,1.1530159593451124,8
2015-01-19,93500,1342000,0.9573247063620715,9
2015-01-19,99000,1342000,0.3517362135351506,10
2015-01-19,104500,1342000,0.1928804948950587,11
2015-01-19,110000,1342000,0.05198032873486794,12
2015-01-19,115500,1342000,0.12000715750038367,13
2015-01-19,99000,1347500,0.14172698948158635,14
2015-01-19,104500,1347500,0.14033308437287528,15
2015-01-20,99000,1325500,1.7168391230362203,0
2015-01-20,104500,1331000,0.1458308412047515,1
2015-01-20,110000,1331000,0.05038456902468017,2
2015-01-20,115500,1331000,0.0840146571225354,3
2015-01-20,93500,1336500,1.7153560460798596,4
2015-01-20,104500,1336500,0.1967924401052323,5
2015-01-20,110000,1336500,0.08949337556681228,6
2015-01-20,115500,1336500,0.06968986278123612,7
2015-01-20,88000,1342000,1.1127597264002724,8
2015-01-20,93500,1342000,0.9248325017304064,9
2015-01-20,99000,1342000,0.3459377893196018,10
2015-01-20,104500,1342000,0.20770674470131575,11
2015-01-20,110000,1342000,0.057129369702630474,12
2015-01-20,115500,1342000,0.12509250534243507,13
2015-01-20,99000,1347500,0.17498200753154103,14
2015-01-20,104500,1347500,0.16967674968781832,15
2015-01-21,99000,1325500,1.4393100593164134,0
2015-01-21,104500,1331000,0.0962671419078778,1
2015-01-21,110000,1331000,0.05132481160618444,2
2015-01-21,115500,1331000,0.10674084379124389,3
2015-01-21,93500,1336500,1.5274836127023308,4
2015-01-21,104500,1336500,0.16071672904426865,5
2015-01-21,110000,1336500,0.11215395477907168,6
2015-01-21,115500,1336500,0.09604809333600166,7
2015-01-21,88000,1342000,0.9960109518027939,8
2015-01-21,93500,1342000,0.8253523759062156,9
2015-01-21,99000,1342000,0.3183122993887193,10
2015-01-21,104500,1342000,0.22626141503118688,11
2015-01-21,110000,1342000,0.08300571602278806,12
2015-01-21,115500,1342000,0.15238205714796385,13
2015-01-21,99000,1347500,0.21622394101841821,14
2015-01-21,104500,1347500,0.21266665778339774,15
2015-01-22,99000,1325500,1.7850426487738982,0
2015-01-22,104500,1331000,0.1924695173218288,1
2015-01-22,110000,1331000,0.10211904125133306,2
2015-01-22,115500,1331000,0.1530442367837613,3
2015-01-22,93500,1336500,1.8249523044055334,4
2015-01-22,104500,1336500,0.2719581149031951,5
2015-01-22,110000,1336500,0.15540147256790923,6
2015-01-22,115500,1336500,0.126752862995889,7
2015-01-22,88000,1342000,1.2698967562577692,8
2015-01-22,93500,1342000,1.0692668165529542,9
2015-01-22,99000,1342000,0.4668049606424888,10
2015-01-22,104500,1342000,0.3078645169363318,11
2015-01-22,110000,1342000,0.11242787280096113,12
2015-01-22,115500,1342000,0.19572159408318368,13
2015-01-22,99000,1347500,0.2745470220883795,14
2015-01-22,104500,1347500,0.25583669184398483,15
2015-01-23,99000,1325500,1.9422598426218993,0
2015-01-23,104500,1331000,0.23512021427353913,1
2015-01-23,110000,1331000,0.12962631629894927,2
2015-01-23,115500,1331000,0.1603711399208544,3
2015-01-23,93500,1336500,1.9472136929764479,4
2015-01-23,104500,1336500,0.3166863568551778,5
2015-01-23,110000,1336500,0.16075610375773633,6
2015-01-23,115500,1336500,0.1346529594899901,7
2015-01-23,88000,1342000,1.3739216928942122,8
2015-01-23,93500,1342000,1.1619380880029637,9
2015-01-23,99000,1342000,0.5182372455770653,10
2015-01-23,104500,1342000,0.32737672236695775,11
2015-01-23,110000,1342000,0.10803277762967489,12
2015-01-23,115500,1342000,0.1984503325500428,13
2015-01-23,99000,1347500,0.2890638230996293,14
2015-01-23,104500,1347500,0.2601324436548046,15
2015-01-24,99000,1325500,1.8008417377046861,0
2015-01-24,104500,1331000,0.19537734482427713,1
2015-01-24,110000,1331000,0.10794839895121097,2
2015-01-24,115500,1331000,0.14887553714946572,3
2015-01-24,93500,1336500,1.8370078653202473,4
2015-01-24,104500,1336500,0.2761156876571835,5
2015-01-24,110000,1336500,0.14123248979227457,6
2015-01-24,115500,1336500,0.1125845617355074,7
2015-01-24,88000,1342000,1.2819567365952254,8
2015-01-24,93500,1342000,1.085079802907256,9
2015-01-24,99000,1342000,0.468043262042049,10
2015-01-24,104500,1342000,0.30369320513869824,11
2015-01-24,110000,1342000,0.09284303628644512,12
2015-01-24,115500,1342000,0.17905298153014282,13
2015-01-24,99000,1347500,0.2774609360020011,14
2015-01-24,104500,1347500,0.24166792855516123,15
2015-01-25,99000,1325500,2.15574919701672,0
2015-01-25,104500,1331000,0.28027117956671393,1
2015-01-25,110000,1331000,0.14477530574960185,2
2015-01-25,115500,1331000,0.16073947533308752,3
2015-01-25,93500,1336500,2.1312352971319735,4
2015-01-25,104500,1336500,0.3696110971778409,5
2015-01-25,110000,1336500,0.15320798752869236,6
2015-01-25,115500,1336500,0.11724487689239707,7
2015-01-25,88000,1342000,1.5345372272680469,8
2015-01-25,93500,1342000,1.3008163232334558,9
2015-01-25,99000,1342000,0.5923498654018933,10
2015-01-25,104500,1342000,0.3398453529727591,11
2015-01-25,110000,1342000,0.089021599294311,12
2015-01-25,115500,1342000,0.1899568900936732,13
2015-01-25,99000,1347500,0.30406167176002996,14
2015-01-25,104500,1347500,0.25128752881952543,15
2015-01-26,99000,1325500,1.7634044353373812,0
2015-01-26,104500,1331000,0.17146414805215215,1
2015-01-26,110000,1331000,0.09252326344108877,2
2015-01-26,115500,1331000,0.12967324022842505,3
2015-01-26,93500,1336500,1.8103197889334894,4
2015-01-26,104500,1336500,0.2662063726173361,5
2015-01-26,110000,1336500,0.12393546401542092,6
2015-01-26,115500,1336500,0.08905101966564205,7
2015-01-26,88000,1342000,1.26886937764376,8
2015-01-26,93500,1342000,1.0701639111308532,9
2015-01-26,99000,1342000,0.4569103843028079,10
2015-01-26,104500,1342000,0.280758899032282,11
2015-01-26,110000,1342000,0.05189171620326398,12
2015-01-26,115500,1342000,0.16657380570743358,13
2015-01-26,99000,1347500,0.25864194050864703,14
2015-01-26,104500,1347500,0.21159277234618215,15
2015-01-27,99000,1325500,1.8432806551615224,0
2015-01-27,104500,1331000,0.20536990621884738,1
2015-01-27,110000,1331000,0.11785729409929781,2
2015-01-27,115500,1331000,0.15076119140735508,3
2015-01-27,93500,1336500,1.8858856153923806,4
2015-01-27,104500,1336500,0.29639975136191726,5
2015-01-27,110000,1336500,0.1421870338768575,6
2015-01-27,115500,1336500,0.09818546488911828,7
2015-01-27,88000,1342000,1.3396285587545798,8
2015-01-27,93500,1342000,1.1351439603352176,9
2015-01-27,99000,1342000,0.5012646664888196,10
2015-01-27,104500,1342000,0.3060313530492212,11
2015-01-27,110000,1342000,0.055796676367294115,12
2015-01-27,115500,1342000,0.1683375461228602,13
2015-01-27,99000,1347500,0.27265252403259543,14
2015-01-27,104500,1347500,0.21529105668479598,15
2015-01-28,99000,1325500,1.8884561342170778,0
2015-01-28,104500,1331000,0.22502338829278348,1
2015-01-28,110000,1331000,0.12551493339954384,2
2015-01-28,115500,1331000,0.16228467844099434,3
2015-01-28,93500,1336500,1.9440889845920593,4
2015-01-28,104500,1336500,0.3113990149897182,5
2015-01-28,110000,1336500,0.14279964525468902,6
2015-01-28,115500,1336500,0.09398538921559164,7
2015-01-28,88000,1342000,1.40987030780667,8
2015-01-28,93500,1342000,1.1862224890461122,9
2015-01-28,99000,1342000,0.5355496682460258,10
2015-01-28,104500,1342000,0.316003561941753,11
2015-01-28,110000,1342000,0.0466324078704374,12
2015-01-28,115500,1342000,0.14696894626949925,13
2015-01-28,99000,1347500,0.28856336661933113,14
2015-01-28,104500,1347500,0.21096399142623887,15
2015-01-29,99000,1325500,2.250979603875096,0
2015-01-29,104500,1331000,0.33840175502277353,1
2015-01-29,110000,1331000,0.1879865179967356,2
2015-01-29,115500,1331000,0.20554132427716926,3
2015-01-29,93500,1336500,2.290962593476967,4
2015-01-29,104500,1336500,0.43036411083297205,5
2015-01-29,110000,1336500,0.19473216942530674,6
2015-01-29,115500,1336500,0.13023097859086524,7
2015-01-29,88000,1342000,1.7226007151749174,8
2015-01-29,93500,1342000,1.458938281979208,9
2015-01-29,99000,1342000,0.7101060105936824,10
2015-01-29,104500,1342000,0.39994678596064853,11
2015-01-29,110000,1342000,0.08028349297130996,12
2015-01-29,115500,1342000,0.1766719492086303,13
2015-01-29,99000,1347500,0.3698147291509214,14
2015-01-29,104500,1347500,0.26633338256671657,15
